Time,Driven Amplitude,Driver Amplitude,Index,Driven Peak Time,Driven Peak Amplitude,Index,Driven Valley Time,Driven Valley Amplitude,Index,Driving Peak Time,Driving Peak Amplitude,Index,Driving Valley Time,Driving Valley Amplitude
0.010,-7.286,-0.944,50.0,0.510,9.719,117.0,1.180,-9.174,,,,,,
0.020,-6.950,-0.943,183.0,1.840,8.799,250.0,2.510,-8.269,,,,,,
0.030,-6.600,-0.943,316.0,3.170,7.867,383.0,3.840,-7.317,,,,,,
0.040,-6.234,-0.943,449.0,4.500,6.922,516.0,5.170,-6.381,,,,,,
0.050,-5.852,-0.942,582.0,5.830,6.008,648.0,6.490,-5.499,,,,,,
0.060,-5.461,-0.942,715.0,7.160,5.043,781.0,7.820,-4.634,,,,,,
0.070,-5.058,-0.941,846.0,8.470,4.206,913.0,9.140,-3.777,,,,,,
0.080,-4.645,-0.941,979.0,9.800,3.346,1044.0,10.450,-2.944,,,,,,
0.090,-4.216,-0.941,1110.0,11.110,2.482,1177.0,11.780,-2.096,,,,,,
0.100,-3.773,-0.942,1243.0,12.440,1.699,1307.0,13.080,-1.235,,,,,,
0.110,-3.328,-0.942,1375.0,13.760,0.832,1439.0,14.400,-0.493,,,,,,
0.120,-2.873,-0.941,,,,,,,,,,,,
0.130,-2.416,-0.941,,,,,,,,,,,,
0.140,-1.953,-0.941,,,,,,,,,,,,
0.150,-1.484,-0.942,,,,,,,,,,,,
0.160,-1.013,-0.942,,,,,,,,,,,,
0.170,-0.543,-0.941,,,,,,,,,,,,
0.180,-0.072,-0.941,,,,,,,,,,,,
0.190,0.394,-0.941,,,,,,,,,,,,
0.200,0.866,-0.942,,,,,,,,,,,,
0.210,1.333,-0.941,,,,,,,,,,,,
0.220,1.795,-0.940,,,,,,,,,,,,
0.230,2.247,-0.940,,,,,,,,,,,,
0.240,2.696,-0.941,,,,,,,,,,,,
0.250,3.137,-0.941,,,,,,,,,,,,
0.260,3.571,-0.941,,,,,,,,,,,,
0.270,3.995,-0.940,,,,,,,,,,,,
0.280,4.416,-0.940,,,,,,,,,,,,
0.290,4.815,-0.940,,,,,,,,,,,,
0.300,5.207,-0.940,,,,,,,,,,,,
0.310,5.588,-0.940,,,,,,,,,,,,
0.320,5.960,-0.940,,,,,,,,,,,,
0.330,6.319,-0.940,,,,,,,,,,,,
0.340,6.663,-0.940,,,,,,,,,,,,
0.350,6.994,-0.940,,,,,,,,,,,,
0.360,7.301,-0.941,,,,,,,,,,,,
0.370,7.592,-0.940,,,,,,,,,,,,
0.380,7.874,-0.940,,,,,,,,,,,,
0.390,8.138,-0.941,,,,,,,,,,,,
0.400,8.379,-0.942,,,,,,,,,,,,
0.410,8.599,-0.942,,,,,,,,,,,,
0.420,8.796,-0.942,,,,,,,,,,,,
0.430,8.977,-0.942,,,,,,,,,,,,
0.440,9.139,-0.942,,,,,,,,,,,,
0.450,9.287,-0.942,,,,,,,,,,,,
0.460,9.410,-0.942,,,,,,,,,,,,
0.470,9.512,-0.941,,,,,,,,,,,,
0.480,9.593,-0.941,,,,,,,,,,,,
0.490,9.655,-0.941,,,,,,,,,,,,
0.500,9.697,-0.941,,,,,,,,,,,,
0.510,9.719,-0.941,,,,,,,,,,,,
0.520,9.714,-0.940,,,,,,,,,,,,
0.530,9.688,-0.940,,,,,,,,,,,,
0.540,9.643,-0.941,,,,,,,,,,,,
0.550,9.578,-0.941,,,,,,,,,,,,
0.560,9.495,-0.942,,,,,,,,,,,,
0.570,9.389,-0.942,,,,,,,,,,,,
0.580,9.265,-0.942,,,,,,,,,,,,
0.590,9.118,-0.943,,,,,,,,,,,,
0.600,8.957,-0.944,,,,,,,,,,,,
0.610,8.777,-0.944,,,,,,,,,,,,
0.620,8.579,-0.943,,,,,,,,,,,,
0.630,8.361,-0.944,,,,,,,,,,,,
0.640,8.123,-0.943,,,,,,,,,,,,
0.650,7.861,-0.943,,,,,,,,,,,,
0.660,7.583,-0.943,,,,,,,,,,,,
0.670,7.294,-0.942,,,,,,,,,,,,
0.680,6.989,-0.941,,,,,,,,,,,,
0.690,6.666,-0.942,,,,,,,,,,,,
0.700,6.329,-0.942,,,,,,,,,,,,
0.710,5.977,-0.942,,,,,,,,,,,,
0.720,5.611,-0.941,,,,,,,,,,,,
0.730,5.236,-0.941,,,,,,,,,,,,
0.740,4.853,-0.941,,,,,,,,,,,,
0.750,4.467,-0.941,,,,,,,,,,,,
0.760,4.060,-0.941,,,,,,,,,,,,
0.770,3.648,-0.941,,,,,,,,,,,,
0.780,3.222,-0.941,,,,,,,,,,,,
0.790,2.796,-0.941,,,,,,,,,,,,
0.800,2.367,-0.941,,,,,,,,,,,,
0.810,1.932,-0.941,,,,,,,,,,,,
0.820,1.489,-0.941,,,,,,,,,,,,
0.830,1.042,-0.941,,,,,,,,,,,,
0.840,0.591,-0.941,,,,,,,,,,,,
0.850,0.145,-0.941,,,,,,,,,,,,
0.860,-0.304,-0.941,,,,,,,,,,,,
0.870,-0.750,-0.941,,,,,,,,,,,,
0.880,-1.197,-0.941,,,,,,,,,,,,
0.890,-1.641,-0.941,,,,,,,,,,,,
0.900,-2.083,-0.941,,,,,,,,,,,,
0.910,-2.514,-0.941,,,,,,,,,,,,
0.920,-2.944,-0.940,,,,,,,,,,,,
0.930,-3.368,-0.940,,,,,,,,,,,,
0.940,-3.782,-0.941,,,,,,,,,,,,
0.950,-4.188,-0.941,,,,,,,,,,,,
0.960,-4.582,-0.941,,,,,,,,,,,,
0.970,-4.961,-0.940,,,,,,,,,,,,
0.980,-5.331,-0.941,,,,,,,,,,,,
0.990,-5.684,-0.941,,,,,,,,,,,,
1.000,-6.027,-0.941,,,,,,,,,,,,
1.010,-6.355,-0.941,,,,,,,,,,,,
1.020,-6.667,-0.941,,,,,,,,,,,,
1.030,-6.964,-0.941,,,,,,,,,,,,
1.040,-7.246,-0.942,,,,,,,,,,,,
1.050,-7.508,-0.942,,,,,,,,,,,,
1.060,-7.760,-0.942,,,,,,,,,,,,
1.070,-7.994,-0.941,,,,,,,,,,,,
1.080,-8.201,-0.941,,,,,,,,,,,,
1.090,-8.388,-0.942,,,,,,,,,,,,
1.100,-8.556,-0.942,,,,,,,,,,,,
1.110,-8.707,-0.941,,,,,,,,,,,,
1.120,-8.838,-0.941,,,,,,,,,,,,
1.130,-8.942,-0.941,,,,,,,,,,,,
1.140,-9.026,-0.941,,,,,,,,,,,,
1.150,-9.089,-0.941,,,,,,,,,,,,
1.160,-9.133,-0.941,,,,,,,,,,,,
1.170,-9.166,-0.940,,,,,,,,,,,,
1.180,-9.174,-0.940,,,,,,,,,,,,
1.190,-9.156,-0.940,,,,,,,,,,,,
1.200,-9.121,-0.941,,,,,,,,,,,,
1.210,-9.072,-0.941,,,,,,,,,,,,
1.220,-9.004,-0.940,,,,,,,,,,,,
1.230,-8.915,-0.941,,,,,,,,,,,,
1.240,-8.806,-0.941,,,,,,,,,,,,
1.250,-8.672,-0.941,,,,,,,,,,,,
1.260,-8.523,-0.941,,,,,,,,,,,,
1.270,-8.355,-0.941,,,,,,,,,,,,
1.280,-8.170,-0.940,,,,,,,,,,,,
1.290,-7.962,-0.941,,,,,,,,,,,,
1.300,-7.732,-0.941,,,,,,,,,,,,
1.310,-7.486,-0.941,,,,,,,,,,,,
1.320,-7.231,-0.940,,,,,,,,,,,,
1.330,-6.956,-0.940,,,,,,,,,,,,
1.340,-6.667,-0.941,,,,,,,,,,,,
1.350,-6.362,-0.941,,,,,,,,,,,,
1.360,-6.044,-0.941,,,,,,,,,,,,
1.370,-5.713,-0.941,,,,,,,,,,,,
1.380,-5.372,-0.941,,,,,,,,,,,,
1.390,-5.015,-0.941,,,,,,,,,,,,
1.400,-4.650,-0.941,,,,,,,,,,,,
1.410,-4.270,-0.941,,,,,,,,,,,,
1.420,-3.882,-0.940,,,,,,,,,,,,
1.430,-3.482,-0.940,,,,,,,,,,,,
1.440,-3.077,-0.941,,,,,,,,,,,,
1.450,-2.665,-0.941,,,,,,,,,,,,
1.460,-2.253,-0.941,,,,,,,,,,,,
1.470,-1.835,-0.940,,,,,,,,,,,,
1.480,-1.412,-0.940,,,,,,,,,,,,
1.490,-0.982,-0.941,,,,,,,,,,,,
1.500,-0.554,-0.941,,,,,,,,,,,,
1.510,-0.129,-0.941,,,,,,,,,,,,
1.520,0.292,-0.940,,,,,,,,,,,,
1.530,0.718,-0.940,,,,,,,,,,,,
1.540,1.144,-0.940,,,,,,,,,,,,
1.550,1.568,-0.941,,,,,,,,,,,,
1.560,1.983,-0.941,,,,,,,,,,,,
1.570,2.386,-0.940,,,,,,,,,,,,
1.580,2.783,-0.940,,,,,,,,,,,,
1.590,3.178,-0.941,,,,,,,,,,,,
1.600,3.564,-0.941,,,,,,,,,,,,
1.610,3.943,-0.941,,,,,,,,,,,,
1.620,4.307,-0.940,,,,,,,,,,,,
1.630,4.664,-0.941,,,,,,,,,,,,
1.640,5.007,-0.941,,,,,,,,,,,,
1.650,5.341,-0.941,,,,,,,,,,,,
1.660,5.667,-0.941,,,,,,,,,,,,
1.670,5.978,-0.941,,,,,,,,,,,,
1.680,6.277,-0.941,,,,,,,,,,,,
1.690,6.565,-0.941,,,,,,,,,,,,
1.700,6.835,-0.942,,,,,,,,,,,,
1.710,7.091,-0.941,,,,,,,,,,,,
1.720,7.326,-0.941,,,,,,,,,,,,
1.730,7.549,-0.941,,,,,,,,,,,,
1.740,7.751,-0.941,,,,,,,,,,,,
1.750,7.934,-0.941,,,,,,,,,,,,
1.760,8.105,-0.941,,,,,,,,,,,,
1.770,8.255,-0.941,,,,,,,,,,,,
1.780,8.382,-0.940,,,,,,,,,,,,
1.790,8.496,-0.941,,,,,,,,,,,,
1.800,8.596,-0.941,,,,,,,,,,,,
1.810,8.675,-0.941,,,,,,,,,,,,
1.820,8.734,-0.940,,,,,,,,,,,,
1.830,8.773,-0.940,,,,,,,,,,,,
1.840,8.799,-0.941,,,,,,,,,,,,
1.850,8.799,-0.941,,,,,,,,,,,,
1.860,8.773,-0.941,,,,,,,,,,,,
1.870,8.734,-0.941,,,,,,,,,,,,
1.880,8.674,-0.941,,,,,,,,,,,,
1.890,8.596,-0.941,,,,,,,,,,,,
1.900,8.498,-0.941,,,,,,,,,,,,
1.910,8.384,-0.942,,,,,,,,,,,,
1.920,8.257,-0.941,,,,,,,,,,,,
1.930,8.109,-0.941,,,,,,,,,,,,
1.940,7.942,-0.942,,,,,,,,,,,,
1.950,7.764,-0.942,,,,,,,,,,,,
1.960,7.568,-0.941,,,,,,,,,,,,
1.970,7.348,-0.941,,,,,,,,,,,,
1.980,7.118,-0.941,,,,,,,,,,,,
1.990,6.870,-0.941,,,,,,,,,,,,
2.000,6.609,-0.941,,,,,,,,,,,,
2.010,6.329,-0.941,,,,,,,,,,,,
2.020,6.043,-0.941,,,,,,,,,,,,
2.030,5.742,-0.941,,,,,,,,,,,,
2.040,5.425,-0.941,,,,,,,,,,,,
2.050,5.104,-0.941,,,,,,,,,,,,
2.060,4.772,-0.941,,,,,,,,,,,,
2.070,4.425,-0.940,,,,,,,,,,,,
2.080,4.075,-0.941,,,,,,,,,,,,
2.090,3.713,-0.941,,,,,,,,,,,,
2.100,3.347,-0.941,,,,,,,,,,,,
2.110,2.948,-0.942,,,,,,,,,,,,
2.120,2.562,-0.941,,,,,,,,,,,,
2.130,2.180,-0.941,,,,,,,,,,,,
2.140,1.784,-0.941,,,,,,,,,,,,
2.150,1.386,-0.942,,,,,,,,,,,,
2.160,0.981,-0.942,,,,,,,,,,,,
2.170,0.572,-0.941,,,,,,,,,,,,
2.180,0.165,-0.941,,,,,,,,,,,,
2.190,-0.235,-0.942,,,,,,,,,,,,
2.200,-0.624,-0.942,,,,,,,,,,,,
2.210,-1.026,-0.942,,,,,,,,,,,,
2.220,-1.430,-0.941,,,,,,,,,,,,
2.230,-1.827,-0.941,,,,,,,,,,,,
2.240,-2.218,-0.941,,,,,,,,,,,,
2.250,-2.602,-0.941,,,,,,,,,,,,
2.260,-2.982,-0.941,,,,,,,,,,,,
2.270,-3.355,-0.940,,,,,,,,,,,,
2.280,-3.727,-0.940,,,,,,,,,,,,
2.290,-4.082,-0.941,,,,,,,,,,,,
2.300,-4.427,-0.941,,,,,,,,,,,,
2.310,-4.762,-0.941,,,,,,,,,,,,
2.320,-5.087,-0.940,,,,,,,,,,,,
2.330,-5.393,-0.940,,,,,,,,,,,,
2.340,-5.689,-0.941,,,,,,,,,,,,
2.350,-5.970,-0.941,,,,,,,,,,,,
2.360,-6.238,-0.941,,,,,,,,,,,,
2.370,-6.491,-0.941,,,,,,,,,,,,
2.380,-6.728,-0.941,,,,,,,,,,,,
2.390,-6.952,-0.941,,,,,,,,,,,,
2.400,-7.155,-0.941,,,,,,,,,,,,
2.410,-7.345,-0.941,,,,,,,,,,,,
2.420,-7.525,-0.941,,,,,,,,,,,,
2.430,-7.684,-0.941,,,,,,,,,,,,
2.440,-7.825,-0.941,,,,,,,,,,,,
2.450,-7.945,-0.941,,,,,,,,,,,,
2.460,-8.046,-0.941,,,,,,,,,,,,
2.470,-8.131,-0.941,,,,,,,,,,,,
2.480,-8.192,-0.941,,,,,,,,,,,,
2.490,-8.237,-0.941,,,,,,,,,,,,
2.500,-8.263,-0.942,,,,,,,,,,,,
2.510,-8.269,-0.941,,,,,,,,,,,,
2.520,-8.256,-0.941,,,,,,,,,,,,
2.530,-8.218,-0.941,,,,,,,,,,,,
2.540,-8.166,-0.941,,,,,,,,,,,,
2.550,-8.098,-0.942,,,,,,,,,,,,
2.560,-8.010,-0.941,,,,,,,,,,,,
2.570,-7.904,-0.941,,,,,,,,,,,,
2.580,-7.781,-0.941,,,,,,,,,,,,
2.590,-7.638,-0.941,,,,,,,,,,,,
2.600,-7.478,-0.941,,,,,,,,,,,,
2.610,-7.303,-0.941,,,,,,,,,,,,
2.620,-7.121,-0.940,,,,,,,,,,,,
2.630,-6.919,-0.940,,,,,,,,,,,,
2.640,-6.700,-0.940,,,,,,,,,,,,
2.650,-6.468,-0.941,,,,,,,,,,,,
2.660,-6.226,-0.941,,,,,,,,,,,,
2.670,-5.967,-0.940,,,,,,,,,,,,
2.680,-5.696,-0.941,,,,,,,,,,,,
2.690,-5.407,-0.941,,,,,,,,,,,,
2.700,-5.112,-0.941,,,,,,,,,,,,
2.710,-4.802,-0.941,,,,,,,,,,,,
2.720,-4.482,-0.941,,,,,,,,,,,,
2.730,-4.149,-0.941,,,,,,,,,,,,
2.740,-3.809,-0.941,,,,,,,,,,,,
2.750,-3.453,-0.942,,,,,,,,,,,,
2.760,-3.096,-0.942,,,,,,,,,,,,
2.770,-2.733,-0.941,,,,,,,,,,,,
2.780,-2.366,-0.941,,,,,,,,,,,,
2.790,-1.994,-0.942,,,,,,,,,,,,
2.800,-1.618,-0.942,,,,,,,,,,,,
2.810,-1.236,-0.942,,,,,,,,,,,,
2.820,-0.854,-0.941,,,,,,,,,,,,
2.830,-0.472,-0.941,,,,,,,,,,,,
2.840,-0.082,-0.941,,,,,,,,,,,,
2.850,0.299,-0.941,,,,,,,,,,,,
2.860,0.676,-0.942,,,,,,,,,,,,
2.870,1.054,-0.941,,,,,,,,,,,,
2.880,1.434,-0.941,,,,,,,,,,,,
2.890,1.807,-0.942,,,,,,,,,,,,
2.900,2.174,-0.942,,,,,,,,,,,,
2.910,2.528,-0.942,,,,,,,,,,,,
2.920,2.879,-0.941,,,,,,,,,,,,
2.930,3.214,-0.941,,,,,,,,,,,,
2.940,3.552,-0.941,,,,,,,,,,,,
2.950,3.881,-0.941,,,,,,,,,,,,
2.960,4.201,-0.941,,,,,,,,,,,,
2.970,4.506,-0.940,,,,,,,,,,,,
2.980,4.806,-0.941,,,,,,,,,,,,
2.990,5.098,-0.941,,,,,,,,,,,,
3.000,5.374,-0.942,,,,,,,,,,,,
3.010,5.640,-0.942,,,,,,,,,,,,
3.020,5.891,-0.942,,,,,,,,,,,,
3.030,6.130,-0.943,,,,,,,,,,,,
3.040,6.360,-0.943,,,,,,,,,,,,
3.050,6.570,-0.944,,,,,,,,,,,,
3.060,6.768,-0.944,,,,,,,,,,,,
3.070,6.946,-0.943,,,,,,,,,,,,
3.080,7.109,-0.942,,,,,,,,,,,,
3.090,7.267,-0.943,,,,,,,,,,,,
3.100,7.402,-0.942,,,,,,,,,,,,
3.110,7.523,-0.942,,,,,,,,,,,,
3.120,7.622,-0.941,,,,,,,,,,,,
3.130,7.704,-0.941,,,,,,,,,,,,
3.140,7.770,-0.942,,,,,,,,,,,,
3.150,7.820,-0.942,,,,,,,,,,,,
3.160,7.855,-0.942,,,,,,,,,,,,
3.170,7.867,-0.942,,,,,,,,,,,,
3.180,7.863,-0.942,,,,,,,,,,,,
3.190,7.847,-0.942,,,,,,,,,,,,
3.200,7.809,-0.942,,,,,,,,,,,,
3.210,7.757,-0.942,,,,,,,,,,,,
3.220,7.688,-0.941,,,,,,,,,,,,
3.230,7.602,-0.941,,,,,,,,,,,,
3.240,7.498,-0.941,,,,,,,,,,,,
3.250,7.376,-0.942,,,,,,,,,,,,
3.260,7.242,-0.941,,,,,,,,,,,,
3.270,7.083,-0.941,,,,,,,,,,,,
3.280,6.919,-0.941,,,,,,,,,,,,
3.290,6.739,-0.941,,,,,,,,,,,,
3.300,6.544,-0.942,,,,,,,,,,,,
3.310,6.337,-0.941,,,,,,,,,,,,
3.320,6.111,-0.941,,,,,,,,,,,,
3.330,5.879,-0.941,,,,,,,,,,,,
3.340,5.627,-0.941,,,,,,,,,,,,
3.350,5.367,-0.941,,,,,,,,,,,,
3.360,5.099,-0.941,,,,,,,,,,,,
3.370,4.818,-0.940,,,,,,,,,,,,
3.380,4.527,-0.940,,,,,,,,,,,,
3.390,4.234,-0.941,,,,,,,,,,,,
3.400,3.928,-0.941,,,,,,,,,,,,
3.410,3.611,-0.941,,,,,,,,,,,,
3.420,3.288,-0.941,,,,,,,,,,,,
3.430,2.969,-0.941,,,,,,,,,,,,
3.440,2.633,-0.942,,,,,,,,,,,,
3.450,2.294,-0.942,,,,,,,,,,,,
3.460,1.944,-0.942,,,,,,,,,,,,
3.470,1.592,-0.941,,,,,,,,,,,,
3.480,1.231,-0.941,,,,,,,,,,,,
3.490,0.867,-0.941,,,,,,,,,,,,
3.500,0.512,-0.941,,,,,,,,,,,,
3.510,0.149,-0.941,,,,,,,,,,,,
3.520,-0.217,-0.940,,,,,,,,,,,,
3.530,-0.571,-0.939,,,,,,,,,,,,
3.540,-0.929,-0.940,,,,,,,,,,,,
3.550,-1.285,-0.940,,,,,,,,,,,,
3.560,-1.641,-0.940,,,,,,,,,,,,
3.570,-1.989,-0.939,,,,,,,,,,,,
3.580,-2.330,-0.939,,,,,,,,,,,,
3.590,-2.668,-0.940,,,,,,,,,,,,
3.600,-2.996,-0.941,,,,,,,,,,,,
3.610,-3.323,-0.941,,,,,,,,,,,,
3.620,-3.644,-0.940,,,,,,,,,,,,
3.630,-3.953,-0.941,,,,,,,,,,,,
3.640,-4.251,-0.941,,,,,,,,,,,,
3.650,-4.534,-0.941,,,,,,,,,,,,
3.660,-4.813,-0.941,,,,,,,,,,,,
3.670,-5.079,-0.941,,,,,,,,,,,,
3.680,-5.330,-0.941,,,,,,,,,,,,
3.690,-5.568,-0.941,,,,,,,,,,,,
3.700,-5.789,-0.942,,,,,,,,,,,,
3.710,-6.000,-0.941,,,,,,,,,,,,
3.720,-6.192,-0.941,,,,,,,,,,,,
3.730,-6.371,-0.941,,,,,,,,,,,,
3.740,-6.537,-0.941,,,,,,,,,,,,
3.750,-6.683,-0.941,,,,,,,,,,,,
3.760,-6.817,-0.942,,,,,,,,,,,,
3.770,-6.936,-0.941,,,,,,,,,,,,
3.780,-7.044,-0.941,,,,,,,,,,,,
3.790,-7.133,-0.941,,,,,,,,,,,,
3.800,-7.202,-0.941,,,,,,,,,,,,
3.810,-7.259,-0.941,,,,,,,,,,,,
3.820,-7.296,-0.940,,,,,,,,,,,,
3.830,-7.315,-0.940,,,,,,,,,,,,
3.840,-7.317,-0.941,,,,,,,,,,,,
3.850,-7.300,-0.941,,,,,,,,,,,,
3.860,-7.269,-0.941,,,,,,,,,,,,
3.870,-7.218,-0.940,,,,,,,,,,,,
3.880,-7.153,-0.940,,,,,,,,,,,,
3.890,-7.071,-0.941,,,,,,,,,,,,
3.900,-6.971,-0.941,,,,,,,,,,,,
3.910,-6.862,-0.941,,,,,,,,,,,,
3.920,-6.741,-0.940,,,,,,,,,,,,
3.930,-6.604,-0.940,,,,,,,,,,,,
3.940,-6.451,-0.941,,,,,,,,,,,,
3.950,-6.282,-0.941,,,,,,,,,,,,
3.960,-6.105,-0.941,,,,,,,,,,,,
3.970,-5.913,-0.940,,,,,,,,,,,,
3.980,-5.705,-0.940,,,,,,,,,,,,
3.990,-5.486,-0.941,,,,,,,,,,,,
4.000,-5.249,-0.941,,,,,,,,,,,,
4.010,-5.004,-0.941,,,,,,,,,,,,
4.020,-4.746,-0.940,,,,,,,,,,,,
4.030,-4.477,-0.940,,,,,,,,,,,,
4.040,-4.202,-0.940,,,,,,,,,,,,
4.050,-3.912,-0.940,,,,,,,,,,,,
4.060,-3.614,-0.940,,,,,,,,,,,,
4.070,-3.311,-0.940,,,,,,,,,,,,
4.080,-2.998,-0.940,,,,,,,,,,,,
